acquittal,무죄
alleged,의혹
be in deep water,곤경에 처했을 때
come to light,밝혀지다
deliver an address,~을 단속하다
Enbargo,연설을 하다
for the record,보도 시점 제한
off the record,공식 발언
on the record,비공식 발언
on the hot seat,곤란한 상황에 놓여있다
Show one's hand,손인에 든 패를 보이다
You lose me,못 알아들었어
break away,달아나다/독립하다
break down,고장나다
Take a hint,눈치를 채다/알아채다
This is a big deal,이거 정말 중요한 일이야
Be jealous of,~을 질투하다
jiggle one's legs,다리를 떨다
sunday driver, 초보운전자
kick back, 편하게 쉬다
cold shoulder, 노골적으로 무시하는 태도
turn out,~인것으로 밝혀지다
refer to, 가르키다/참조하다
get over,극복하다
couldn't careless,신경 쓸 필요없어
be sick of/tried of,진저리가 나다
It's not that,그러려고 그런게 아니라
Don't go there,그만하라
no matter how,아무리~하더라도~하다
It could be worse,그렇게 나쁘지 않아
The world is your oyster,넌 무엇이든지 할수있어
You win some and you lose some,이길때도 있고 질때도 있어
on the ball,유능하게/기민하게
dab hand,명수/장인
old hand at,숙련자/베테랑
keep company with,~와 친해지다
keep up with,~에 알게되다/~와 연락하고 지낸다
hook up with,시간을 보내다
as easy as pie,아주 쉬운
no-sweat,힘들 것이 없는/쉬운
pushover,식은 죽 먹기
jump the gun,경솔하다
hang fire,행동을 미루다
hit below the belt,비겁한 행동을 하다
buck somebody up,~의 기운을  복돋우다
Hold good,지지하다/유효하다
stand behind,뒤에서 밀어주다/후원하다
Get nowhere,아무런 도움이 되지 않다
wild goose chase,헛수고
in the pink,건강이 좋은
acquittal,무죄
alleged,의혹
be in deep water,곤경에 처했을 때
come to light,밝혀지다
deliver an address,~을 단속하다
Enbargo,연설을 하다
for the record,보도 시점 제한
off the record,공식 발언
on the record,비공식 발언
on the hot seat,곤란한 상황에 놓여있다
Show one's hand,손인에 든 패를 보이다
You lose me,못 알아들었어
break away,달아나다/독립하다
break down,고장나다
Take a hint,눈치를 채다/알아채다
This is a big deal,이거 정말 중요한 일이야
Be jealous of,~을 질투하다
jiggle one's legs,다리를 떨다
sunday driver, 초보운전자
kick back, 편하게 쉬다
cold shoulder, 노골적으로 무시하는 태도
turn out,~인것으로 밝혀지다
refer to, 가르키다/참조하다
get over,극복하다
couldn't careless,신경 쓸 필요없어
be sick of/tried of,진저리가 나다
It's not that,그러려고 그런게 아니라
Don't go there,그만하라
no matter how,아무리~하더라도~하다
It could be worse,그렇게 나쁘지 않아
The world is your oyster,넌 무엇이든지 할수있어
You win some and you lose some,이길때도 있고 질때도 있어
on the ball,유능하게/기민하게
dab hand,명수/장인
old hand at,숙련자/베테랑
keep company with,~와 친해지다
keep up with,~에 알게되다/~와 연락하고 지낸다
hook up with,시간을 보내다
as easy as pie,아주 쉬운
no-sweat,힘들 것이 없는/쉬운
pushover,식은 죽 먹기
jump the gun,경솔하다
hang fire,행동을 미루다
hit below the belt,비겁한 행동을 하다
buck somebody up,~의 기운을  복돋우다
Hold good,지지하다/유효하다
stand behind,뒤에서 밀어주다/후원하다
Get nowhere,아무런 도움이 되지 않다
wild goose chase,헛수고
in the pink,건강이 좋은
acquittal,무죄
alleged,의혹
be in deep water,곤경에 처했을 때
come to light,밝혀지다
deliver an address,~을 단속하다
Enbargo,연설을 하다
for the record,보도 시점 제한
off the record,공식 발언
on the record,비공식 발언
on the hot seat,곤란한 상황에 놓여있다
Show one's hand,손인에 든 패를 보이다
You lose me,못 알아들었어
break away,달아나다/독립하다
break down,고장나다
Take a hint,눈치를 채다/알아채다
This is a big deal,이거 정말 중요한 일이야
Be jealous of,~을 질투하다
jiggle one's legs,다리를 떨다
sunday driver, 초보운전자
kick back, 편하게 쉬다
cold shoulder, 노골적으로 무시하는 태도
turn out,~인것으로 밝혀지다
refer to, 가르키다/참조하다
get over,극복하다
couldn't careless,신경 쓸 필요없어
be sick of/tried of,진저리가 나다
It's not that,그러려고 그런게 아니라
